source bbl head,source,destination,fallthrough,rtn address,taken count,not taken count,single source, sharing target
400fa0,400fc4,400e40,400fc9,400fa0,1,0,1,0
417e30,417e3b,400ea0,417e40,417e30,3,0,0,0
400eb0,400eb0,ffffffffffffffff,400eb6,400eb0,11,0,0,1
400eb6,400ebb,400d10,400ec0,400eb0,1,0,1,1
400e50,400e50,ffffffffffffffff,400e56,400e50,67,0,0,1
400e56,400e5b,400d10,400e60,400e50,1,0,1,1
400f80,400f80,ffffffffffffffff,400f86,400f80,6,0,0,1
400f86,400f8b,400d10,400f90,400f80,1,0,1,1
400de0,400de0,ffffffffffffffff,400de6,400de0,18,0,0,1
400de6,400deb,400d10,400df0,400de0,1,0,1,1
405a4b,405a59,ffffffffffffffff,405a5a,405a4b,1,0,1,1
400d60,400d60,ffffffffffffffff,400d66,400d60,5,0,1,1
400d66,400d6b,400d10,400d70,400d60,1,0,1,1
417de8,417df9,ffffffffffffffff,417dfd,417db0,1,0,1,1
417e06,417e14,ffffffffffffffff,417e15,417db0,1,0,1,1
417db0,417dde,400cf0,417de3,417db0,1,0,1,0
417de3,417de6,417e06,417de8,417db0,0,1,1,0
417dfd,417e04,417df0,417e06,417db0,0,1,1,0
400d80,400d80,ffffffffffffffff,400d86,400d80,3,0,1,1
400d86,400d8b,400d10,400d90,400d80,1,0,1,1
400d20,400d20,ffffffffffffffff,400d26,400d20,2,0,1,1
400d26,400d2b,400d10,400d30,400d20,1,0,1,1
400e70,400e70,ffffffffffffffff,400e76,400e70,2,0,0,1
400e76,400e7b,400d10,400e80,400e70,1,0,1,1
406f2b,406f34,407069,406f3a,406f0f,2,0,1,1
407069,40706a,ffffffffffffffff,40706b,406f0f,2,0,0,1
406f0f,406f26,400d20,406f2b,406f0f,2,0,0,0
406f3a,406f5b,406f62,406f5d,406f0f,0,0,1,0
406f5d,406f5d,407069,406f62,406f0f,0,0,1,1
406f0d,406f0e,ffffffffffffffff,406f0f,406e6e,3,0,1,1
406e8a,406e95,400de0,406e9a,406e6e,3,0,1,1
406e85,406e85,406e3b,406e8a,406e6e,3,0,1,0
406e9a,406e9f,406e0d,406ea4,406e6e,3,0,1,1
406ea4,406ebc,400d90,406ec1,406e6e,3,0,1,0
406ec1,406ec5,406f0d,406ec7,406e6e,3,0,1,0
406f01,406f0e,ffffffffffffffff,406f0f,406e6e,2,0,1,1
406eea,406efc,406e6e,406f01,406e6e,2,0,1,1
406e6e,406e83,406ec7,406e85,406e6e,2,3,0,0
406ec7,406ecf,406edd,406ed1,406e6e,2,0,1,0
406edd,406ee8,406ed1,406eea,406e6e,1,1,1,0
