0x406e2e, 0x406e35, 0x406e30, 0x406e0d, 5, 0, 1
0x4087cb, 0x4087d2, 0x4087cd, 0x4087b3, 444595, 79, 1
0x405abd, 0x405ac6, 0x405abf, 0x405a5a, 1, 0, 1
0x4057ea, 0x405825, 0x4057ec, 0x4057c8, 2, 0, 0
0x4081b0, 0x408169, 0x4081b2, 0x40814e, 8180480, 1419461, 1
0x406f34, 0x407069, 0x406f3a, 0x406f0f, 1, 0, 1
0x402dbb, 0x402dc2, 0x402dbd, 0x402bdd, 78757471, 462821, 1
0x403183, 0x403109, 0x403185, 0x402bdd, 4992807, 250014, 1
0x4030cf, 0x403055, 0x4030d1, 0x402bdd, 4958045, 250013, 1
0x40342f, 0x402c54, 0x403435, 0x402bdd, 813944, 8259, 0
0x403225, 0x403281, 0x403227, 0x402bdd, 136187, 113827, 1
0x403321, 0x40337d, 0x403323, 0x402bdd, 116339, 33546, 0
0x4046e6, 0x4046ef, 0x4046e8, 0x4046c7, 4042, 1, 0
0x4047c6, 0x404816, 0x4047c8, 0x404707, 4169, 1, 1
0x40484d, 0x404854, 0x40484f, 0x404707, 4169, 0, 1
0x417a41, 0x417a20, 0x417a43, 0x417594, 362511, 43680, 1
0x41775b, 0x417762, 0x41775d, 0x417594, 185756, 36830, 1
0x41783b, 0x417842, 0x41783d, 0x417594, 179617, 34194, 1
0x417a64, 0x417a6a, 0x417a66, 0x417594, 43680, 0, 1
0x417a77, 0x417a11, 0x417a79, 0x417594, 43679, 480, 1
0x41761f, 0x4175c2, 0x417621, 0x417594, 43315, 476, 0
0x4176f5, 0x41765b, 0x4176fb, 0x417594, 43313, 476, 0
0x4179eb, 0x417718, 0x4179f1, 0x417594, 42839, 476, 0
0x407d89, 0x407d6d, 0x407d8b, 0x407d2d, 5119, 20, 1
0x40c3be, 0x40c374, 0x40c3c0, 0x40c358, 5113, 20, 0
0x40718c, 0x407164, 0x40718e, 0x40706b, 6, 1, 0
0x407232, 0x40723a, 0x407234, 0x40706b, 2, 0, 1
0x407893, 0x4078d5, 0x407895, 0x40706b, 2, 0, 1
